end_week,median_positive,Region
2020-05-03,44,West
2020-05-10,42,West
2020-05-17,41,West
2020-05-24,39,West
2020-05-31,38,West
2020-06-07,36,West
2020-06-14,35,West
2020-06-21,35,West
2020-06-28,35,West
2020-07-05,36,West
2020-07-12,36,West
2020-07-19,37,West
2020-07-26,37,West
2020-08-02,37,West
2020-08-09,37,West
2020-08-16,36,West
2020-08-23,35,West
2020-05-03,44,Midwest
2020-05-10,44,Midwest
2020-05-17,42,Midwest
2020-05-24,43,Midwest
2020-05-31,41,Midwest
2020-06-07,41,Midwest
2020-06-14,38,Midwest
2020-06-21,34,Midwest
2020-06-28,33,Midwest
2020-07-05,33,Midwest
2020-07-12,35,Midwest
2020-07-19,36,Midwest
2020-07-26,37,Midwest
2020-08-02,38,Midwest
2020-08-09,38,Midwest
2020-08-16,37,Midwest
2020-08-23,33,Midwest
2020-05-03,46,South
2020-05-10,46,South
2020-05-17,44,South
2020-05-24,43,South
2020-05-31,41,South
2020-06-07,37,South
2020-06-14,35,South
2020-06-21,36,South
2020-06-28,37,South
2020-07-05,39,South
2020-07-12,40,South
2020-07-19,42,South
2020-07-26,42,South
2020-08-02,43,South
2020-08-09,43,South
2020-08-16,42,South
2020-08-23,40,South
2020-05-03,51,Northeast
2020-05-10,50,Northeast
2020-05-17,50,Northeast
2020-05-24,51,Northeast
2020-05-31,51,Northeast
2020-06-07,50,Northeast
2020-06-14,47,Northeast
2020-06-21,42,Northeast
2020-06-28,38,Northeast
2020-07-05,37,Northeast
2020-07-12,38,Northeast
2020-07-19,38,Northeast
2020-07-26,39,Northeast
2020-08-02,40,Northeast
2020-08-09,39,Northeast
2020-08-16,38,Northeast
2020-08-23,35,Northeast
2020-05-03,47.03, US
2020-05-10,46.04, US
2020-05-17,43.97, US
2020-05-24,43.97, US
2020-05-31,41.03, US
2020-06-07,38.04, US
2020-06-14,36.21, US
2020-06-21,35.1, US
2020-06-28,37.06, US
2020-07-05,37.97, US
2020-07-12,39.06, US
2020-07-19,39.99, US
2020-07-26,40.06, US
2020-08-02,41.05, US
2020-08-09,40.94, US
2020-08-16,39.75, US
2020-08-23,37.08, US
